"Country","Rep_date","Count","yrqtr","yrmon"
"Afghanistan",2022-04-30,72,2022 Q2,Apr 2022
"Afghanistan",2022-05-31,73,2022 Q2,May 2022
"Afghanistan",2022-06-30,73,2022 Q2,Jun 2022
"Afghanistan",2022-07-31,73,2022 Q3,Jul 2022
"Afghanistan",2022-08-31,73,2022 Q3,Aug 2022
"Afghanistan",2022-09-30,73,2022 Q3,Sep 2022
"Afghanistan",2022-10-31,73,2022 Q4,Oct 2022
"Afghanistan",2022-11-30,77,2022 Q4,Nov 2022
"Afghanistan",2022-12-31,77,2022 Q4,Dec 2022
"Afghanistan",2023-01-31,77,2023 Q1,Jan 2023
"Afghanistan",2023-02-28,77,2023 Q1,Feb 2023
"Afghanistan",2023-03-31,77,2023 Q1,Mar 2023
"Afghanistan",2023-04-30,77,2023 Q2,Apr 2023
"Afghanistan",2023-05-31,77,2023 Q2,May 2023
"Afghanistan",2023-06-30,77,2023 Q2,Jun 2023
"Afghanistan",2023-07-31,78,2023 Q3,Jul 2023
"Afghanistan",2023-08-31,78,2023 Q3,Aug 2023
"Afghanistan",2023-09-30,78,2023 Q3,Sep 2023
"Afghanistan",2023-10-31,78,2023 Q4,Oct 2023
"Afghanistan",2023-11-30,78,2023 Q4,Nov 2023
"Afghanistan",2023-12-31,82,2023 Q4,Dec 2023
"Afghanistan",2024-01-31,82,2024 Q1,Jan 2024
"Afghanistan",2024-02-29,82,2024 Q1,Feb 2024
"Afghanistan",2024-03-31,82,2024 Q1,Mar 2024
"Afghanistan",2024-04-30,82,2024 Q2,Apr 2024
"Afghanistan",2024-05-31,82,2024 Q2,May 2024
"Afghanistan",2024-06-30,82,2024 Q2,Jun 2024
"Afghanistan",2024-07-31,82,2024 Q3,Jul 2024
"Afghanistan",2024-08-31,82,2024 Q3,Aug 2024
"Afghanistan",2024-09-30,82,2024 Q3,Sep 2024
"Afghanistan",2024-10-31,82,2024 Q4,Oct 2024
"Afghanistan",2024-11-30,82,2024 Q4,Nov 2024
"Albania",2022-04-30,5,2022 Q2,Apr 2022
"Albania",2022-05-31,5,2022 Q2,May 2022
"Albania",2022-06-30,5,2022 Q2,Jun 2022
"Albania",2022-07-31,5,2022 Q3,Jul 2022
"Albania",2022-08-31,5,2022 Q3,Aug 2022
"Albania",2022-09-30,5,2022 Q3,Sep 2022
"Albania",2022-10-31,5,2022 Q4,Oct 2022
"Albania",2022-11-30,5,2022 Q4,Nov 2022
"Albania",2022-12-31,5,2022 Q4,Dec 2022
"Albania",2023-01-31,5,2023 Q1,Jan 2023
"Albania",2023-02-28,5,2023 Q1,Feb 2023
"Albania",2023-03-31,5,2023 Q1,Mar 2023
"Albania",2023-04-30,5,2023 Q2,Apr 2023
"Albania",2023-05-31,6,2023 Q2,May 2023
"Albania",2023-06-30,6,2023 Q2,Jun 2023
"Albania",2023-07-31,6,2023 Q3,Jul 2023
"Albania",2023-08-31,6,2023 Q3,Aug 2023
"Albania",2023-09-30,6,2023 Q3,Sep 2023
"Albania",2023-10-31,6,2023 Q4,Oct 2023
"Albania",2023-11-30,6,2023 Q4,Nov 2023
"Albania",2023-12-31,6,2023 Q4,Dec 2023
"Albania",2024-01-31,6,2024 Q1,Jan 2024
"Albania",2024-02-29,6,2024 Q1,Feb 2024
"Albania",2024-03-31,6,2024 Q1,Mar 2024
"Albania",2024-04-30,6,2024 Q2,Apr 2024
